Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link,lYear,lWeek,lTop 10 Gross,lOverall,lTop,lGross,lTGross,lWeeks,wT10Gross,wOverallGross,wRelease
Aug 3-5,2018,31,119739621,-16.50%,139748359,-10.80%,108,Mission: Impossible - Fallout,/weekend/2018W31/?ref_=bo_wey_table_28,2018,30,143331278,156588266,Mission: Impossible - Fallout,61236534,61236534,1,134064684.33333331,149076426.08333334,108.58333333333331
Jul 27-29,2018,30,143331278,-8.90%,156588266,-9.30%,111,Mission: Impossible - Fallout,/weekend/2018W30/?ref_=bo_wey_table_29,2018,29,157376958,172609113,The Equalizer 2,36011640,36011640,1,148763158.08333334,162250811.58333334,109.91666666666669
Jul 20-22,2018,29,157376958,2.20%,172609113,4%,101,The Equalizer 2,/weekend/2018W29/?ref_=bo_wey_table_30,2018,28,154037869,166028564,Hotel Transylvania 3: Summer Vacation,44076225,45352609,1,182475369.5833333,195040168.16666663,108.0
Jul 13-15,2018,28,154037869,-12.90%,166028564,-12%,102,Hotel Transylvania 3: Summer Vacation,/weekend/2018W28/?ref_=bo_wey_table_31,2018,27,176800250,188609905,Ant-Man and the Wasp,75812205,75812205,1,166993485.33333334,179117028.41666666,110.0
Jul 6-8,2018,27,176800250,5.70%,188609905,4.90%,102,Ant-Man and the Wasp,/weekend/2018W27/?ref_=bo_wey_table_32,2018,26,167201140,179844255,Jurassic World: Fallen Kingdom,60912195,265699530,2,174799565.14285713,186610260.7142857,101.5
Jun 29-Jul 1,2018,26,167201140,-37.90%,179844255,-35.20%,108,Jurassic World: Fallen Kingdom,/weekend/2018W26/?ref_=bo_wey_table_33,2018,25,269388336,277365758,Jurassic World: Fallen Kingdom,148024610,148024610,1,179093226.14285713,192114475.2857143,106.21428571428572
Jun 22-24,2018,25,269388336,4.20%,277365758,2.30%,103,Jurassic World: Fallen Kingdom,/weekend/2018W25/?ref_=bo_wey_table_34,2018,24,258481930,271034765,Incredibles 2,182687905,182687905,1,183005245.3333333,193777360.25,109.0
Jun 15-17,2018,24,258481930,135.70%,271034765,125.30%,104,Incredibles 2,/weekend/2018W24/?ref_=bo_wey_table_35,2018,23,109660193,120294762,Ocean's Eight,41607378,41607378,1,170617422.83333334,180717244.41666663,110.5
Jun 8-10,2018,23,109660193,13%,120294762,12.70%,112,Ocean's Eight,/weekend/2018W23/?ref_=bo_wey_table_36,2018,22,97051566,106760099,Solo: A Star Wars Story,29396882,148989574,2,141521272.91666666,149983262.5,110.75
Jun 1-3,2018,22,97051566,-44.60%,106760099,-41.40%,115,Solo: A Star Wars Story,/weekend/2018W22/?ref_=bo_wey_table_37,2018,21,218126709,227018880,Solo: A Star Wars Story,103016812,103016812,1,155722830.2857143,163468887.57142857,109.0
May 25-28Memorial Day wknd,2018,21,218126709,28.50%,227018880,25.70%,108,Solo: A Star Wars Story,/weekend/2018W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_39,2018,20,200438167,209967303,Deadpool 2,125507153,125507153,1,190812263.0909091,200275911.4090909,106.95454545454544
May 18-20,2018,20,200438167,58.20%,209967303,50.90%,122,Deadpool 2,/weekend/2018W20/?ref_=bo_wey_table_40,2018,19,126696435,139103219,Avengers: Infinity War,62078047,548090150,3,145121413.0,154218433.5,116.33333333333331
May 11-13,2018,19,126696435,-20.30%,139103219,-18%,122,Avengers: Infinity War,/weekend/2018W19/?ref_=bo_wey_table_41,2018,18,158985116,169550312,Avengers: Infinity War,114774810,453107350,2,145570531.16666666,156305886.66666666,118.58333333333331
May 4-6,2018,18,158985116,-47.50%,169550312,-46%,115,Avengers: Infinity War,/weekend/2018W18/?ref_=bo_wey_table_42,2018,17,303012371,313937789,Avengers: Infinity War,257698183,257698183,1,165862059.58333334,176843492.41666666,117.58333333333331
Apr 27-29,2018,17,303012371,184.20%,313937789,149.60%,125,Avengers: Infinity War,/weekend/2018W17/?ref_=bo_wey_table_43,2018,16,106600851,125778372,A Quiet Place,20911809,131270520,3,137268690.41666666,152115054.33333334,120.5
Apr 20-22,2018,16,106600851,-19.10%,125778372,-16.20%,121,A Quiet Place,/weekend/2018W16/?ref_=bo_wey_table_44,2018,15,131792250,150160537,Rampage,35753093,35753093,1,110617216.86666666,126178234.8,107.6
Apr 13-15,2018,15,131792250,-6.40%,150160537,-8.50%,117,Rampage,/weekend/2018W15/?ref_=bo_wey_table_45,2018,14,140865614,164133343,A Quiet Place,50203562,50203562,1,120117122.42857143,132811945.5,105.35714285714286
Apr 6-8,2018,14,140865614,22.20%,164133343,19.60%,116,A Quiet Place,/weekend/2018W14/?ref_=bo_wey_table_46,2018,13,130872272,154921251,Ready Player One,47005514,58951789,1,144115983.0,155905612.33333334,101.33333333333331
Mar 30-Apr 2Easter wknd,2018,13,130872272,-24.50%,154921251,-16.90%,59,Ready Player One,/weekend/2018W13/occasion/easter_weekend/?ref_=bo_wey_table_47,2018,12,108669222,130423221,Pacific Rim: Uprising,28116535,28116535,1,146184773.73333332,159291299.6,101.13333333333334
Mar 23-25,2018,12,108669222,-8.50%,130423221,-1.80%,114,Pacific Rim: Uprising,/weekend/2018W12/?ref_=bo_wey_table_49,2018,11,118810762,132848455,Black Panther,26650690,605027218,5,126389274.23076925,140871121.69230768,109.0
Mar 16-18,2018,11,118810762,-3.50%,132848455,-4.90%,114,Black Panther,/weekend/2018W11/?ref_=bo_wey_table_50,2018,10,123134923,139696317,Black Panther,40817579,561697180,4,119224647.16666669,134725146.91666666,110.75
Mar 9-11,2018,10,123134923,-8.30%,139696317,-6.30%,112,Black Panther,/weekend/2018W10/?ref_=bo_wey_table_51,2018,9,134280505,149122522,Black Panther,66306935,501706972,3,127718984.25,144766037.66666666,110.16666666666669
