Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
"Three Billboards Outside Ebbing, Missouri",11,"$3,013,022 ","$41,777,073 ",14,13,"$2,302,015 "
"I, Tonya",12,"$2,469,724 ","$22,553,609 ",10,14,"$1,671,331 "
Darkest Hour,14,"$2,362,975 ","$48,786,132 ",12,15,"$1,604,995 "
Star Wars: The Last Jedi,15,"$2,338,242 ","$614,455,022 ",9,16,"$1,397,413 "
Paddington 2,10,"$3,277,453 ","$36,481,132 ",5,17,"$1,301,101 "
Forever My Girl,16,"$2,290,241 ","$12,551,895 ",4,18,"$1,239,673 "
Phantom Thread,17,"$2,129,155 ","$14,163,264 ",7,19,"$1,205,825 "
Padmaavat,13,"$2,438,930 ","$8,900,499 ",3,21,"$1,039,904 "
Lady Bird,21,"$1,315,538 ","$43,688,875 ",15,22,"$902,741 "
Coco,18,"$1,729,708 ","$204,789,437 ",12,23,"$886,289 "
Call Me by Your Name,22,"$885,090 ","$12,825,208 ",12,27,"$675,269 "
Insidious: The Last Key,20,"$1,462,810 ","$65,753,770 ",6,28,"$596,055 "
The Commuter,19,"$1,666,757 ","$34,266,504 ",5,29,"$575,770 "
Molly's Game,24,"$789,247 ","$27,055,182 ",7,30,"$453,901 "
Ferdinand,25,"$676,990 ","$81,441,623 ",9,31,"$383,861 "
Wonder,29,"$234,945 ","$130,954,460 ",13,32,"$279,886 "
Pitch Perfect 3,23,"$792,105 ","$103,882,990 ",8,33,"$257,980 "
Proud Mary,26,"$548,420 ","$20,194,353 ",5,34,"$226,265 "
Thor: Ragnarok,28,"$244,950 ","$313,996,223 ",15,35,"$225,071 "
Justice League,30,"$194,326 ","$228,330,112 ",13,36,"$170,569 "
The Insult,33,"$110,583 ","$278,978 ",5,38,"$110,122 "
Daddy's Home 2,34,"$96,821 ","$103,883,617 ",14,41,"$84,973 "
All the Money in the World,32,"$126,890 ","$24,757,345 ",7,43,"$58,775 "
Film Stars Don't Die in Liverpool,38,"$51,614 ","$311,842 ",7,44,"$56,956 "
Murder on the Orient Express (2017),35,"$72,197 ","$102,641,814 ",14,45,"$49,652 "
The Florida Project,41,"$47,521 ","$5,734,639 ",19,47,"$30,674 "
The Disaster Artist,40,"$50,923 ","$21,000,317 ",11,48,"$28,774 "
A Beautiful Planet,48,"$22,501 ","$13,123,506 ",94,49,"$25,508 "
Loving Vincent,49,"$20,125 ","$6,612,298 ",21,50,"$23,226 "
In the Fade,43,"$41,483 ","$200,840 ",7,51,"$22,992 "
Father Figures,45,"$33,212 ","$17,450,205 ",8,52,"$22,147 "
Faces Places,46,"$31,173 ","$769,693 ",19,53,"$21,479 "
Mary and the Witch's Flower,39,"$51,307 ","$1,890,268 ",4,54,"$21,331 "
Along with the Gods: The Two Worlds,44,"$33,769 ","$1,862,665 ",8,56,"$16,694 "
Get Out,42,"$46,500 ","$175,987,350 ",38,58,"$15,530 "
Happy End,53,"$13,709 ","$221,665 ",8,59,"$15,406 "
The Star,47,"$28,814 ","$40,826,384 ",13,60,"$14,726 "
The Square,50,"$19,423 ","$1,419,695 ",16,62,"$11,570 "
The Breadwinner,55,"$12,061 ","$272,021 ",13,64,"$8,068 "
Have a Nice Day,56,"$11,151 ","$29,609 ",3,68,"$5,876 "
BOMBSHELL: The Hedy Lamarr Story,64,"$4,907 ","$251,715 ",12,69,"$5,513 "
Hubble 3D,68,"$4,283 ","$52,013,679 ",413,73,"$4,022 "
Under the Sea 3D,72,"$2,890 ","$35,706,553 ",470,75,"$2,971 "
A Ciambra,66,"$4,618 ","$24,853 ",4,76,"$2,318 "
"Roman J. Israel, Esq.",67,"$4,390 ","$11,955,144 ",13,77,"$2,176 "
Jane (2017),54,"$13,444 ","$1,670,106 ",17,78,"$2,165 "
In Between,62,"$5,247 ","$48,300 ",6,79,"$2,142 "
Beuys,60,"$5,990 ","$38,869 ",4,80,"$2,025 "
The Final Year,51,"$17,313 ","$173,930 ",4,81,"$1,858 "
Tom of Finland,59,"$6,391 ","$354,788 ",18,82,"$1,758 "
Born to Be Wild (IMAX),87,$909 ,"$25,632,908 ",358,83,"$1,536 "
Django,70,"$4,047 ","$47,147 ",6,85,"$1,165 "
My Friend Dahmer,71,"$3,012 ","$1,349,212 ",15,86,"$1,138 "
Memories of Underdevelopment (2017 re-release),86,$942 ,"$25,275 ",5,87,"$1,089 "
Wastelander,75,"$2,706 ","$54,264 ",5,88,"$1,002 "
