Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Feb 22-24,2013,8,"$84,217,867 ",-30.60%,"$103,534,297 ",-26.70%,94,Identity Thief,/weekend/2013W08/?ref_=bo_wey_table_51
Feb 15-18Presidents' Day wknd,2013,7,"$143,655,294 ",-12.90%,"$168,341,536 ",-13%,86,A Good Day to Die Hard,/weekend/2013W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_53
Feb 8-10,2013,6,"$82,382,252 ",26.80%,"$104,216,107 ",17.50%,101,Identity Thief,/weekend/2013W06/?ref_=bo_wey_table_54
Feb 1-3,2013,5,"$64,959,191 ",-20%,"$88,701,777 ",-21%,98,Warm Bodies,/weekend/2013W05/?ref_=bo_wey_table_55
Jan 25-27,2013,4,"$81,203,152 ",-24.60%,"$112,228,923 ",-19.70%,91,Hansel & Gretel: Witch Hunters,/weekend/2013W04/?ref_=bo_wey_table_56
Jan 18-21MLK wknd,2013,3,"$125,704,597 ",-2.50%,"$165,335,690 ",1.50%,68,Mama,/weekend/2013W03/occasion/us_mlkday_weekend/?ref_=bo_wey_table_58
Jan 11-13,2013,2,"$112,186,149 ",-3.70%,"$140,670,134 ",-4.70%,95,Zero Dark Thirty,/weekend/2013W02/?ref_=bo_wey_table_59
Jan 4-6,2013,1,"$116,465,689 ",-25%,"$147,632,550 ",-18.70%,96,Texas Chainsaw 3D,/weekend/2013W01/?ref_=bo_wey_table_60
"Dec 28-Jan 1, 2013New Year's long wknd",2012,52,"$237,786,853 ",37.20%,"$277,443,906 ",38.60%,54,The Hobbit: An Unexpected Journey,/weekend/2012W52/occasion/us_newyear_weekend/?ref_=bo_wey_table_1
Dec 21-25Christmas long wknd,2012,51,"$169,697,974 ",-1.40%,"$204,882,187 ",3.40%,53,The Hobbit: An Unexpected Journey,/weekend/2012W51/occasion/us_christmas_weekend/?ref_=bo_wey_table_3
Dec 14-16,2012,50,"$126,779,394 ",85.40%,"$136,705,051 ",69%,109,The Hobbit: An Unexpected Journey,/weekend/2012W50/?ref_=bo_wey_table_5
Dec 7-9,2012,49,"$68,367,628 ",-32.10%,"$80,905,506 ",-29.30%,119,Skyfall,/weekend/2012W49/?ref_=bo_wey_table_6
Nov 30-Dec 2,2012,48,"$100,734,688 ",-49.30%,"$114,496,488 ",-44.90%,108,The Twilight Saga: Breaking Dawn - Part 2,/weekend/2012W48/?ref_=bo_wey_table_7
Nov 21-25Thanksgiving 5-Day,2012,47,"$279,039,688 ",34.40%,"$289,573,641 ",28.60%,50,The Twilight Saga: Breaking Dawn - Part 2,/weekend/2012W46/occasion/us_thanksgiving_5/?ref_=bo_wey_table_10
Nov 16-18,2012,46,"$240,504,453 ",50.70%,"$250,086,091 ",44.10%,115,The Twilight Saga: Breaking Dawn - Part 2,/weekend/2012W46/?ref_=bo_wey_table_11
Nov 9-11,2012,45,"$159,539,986 ",34.30%,"$173,520,562 ",25.40%,120,Skyfall,/weekend/2012W45/?ref_=bo_wey_table_12
Nov 2-4,2012,44,"$118,833,677 ",58.80%,"$138,368,039 ",47.90%,119,Wreck-It Ralph,/weekend/2012W44/?ref_=bo_wey_table_13
Oct 26-28,2012,43,"$74,831,900 ",-35.30%,"$93,548,501 ",-27.50%,119,Argo,/weekend/2012W43/?ref_=bo_wey_table_14
Oct 19-21,2012,42,"$115,619,564 ",-1.40%,"$129,118,109 ",-0.70%,118,Paranormal Activity 4,/weekend/2012W42/?ref_=bo_wey_table_15
Oct 12-14,2012,41,"$117,244,701 ",-9.80%,"$129,987,942 ",-8.60%,117,Taken 2,/weekend/2012W41/?ref_=bo_wey_table_16
Oct 5-8Columbus Day wknd,2012,40,"$147,590,739 ",62.20%,"$158,700,116 ",49.50%,54,Taken 2,/weekend/2012W40/occasion/us_columbusday_weekend/?ref_=bo_wey_table_17
Sep 28-30,2012,39,"$102,991,094 ",43.30%,"$119,272,334 ",31.20%,122,Hotel Transylvania,/weekend/2012W39/?ref_=bo_wey_table_19
Sep 21-23,2012,38,"$71,888,652 ",10.90%,"$90,881,797 ",4.70%,123,End of Watch,/weekend/2012W38/?ref_=bo_wey_table_20
Sep 14-16,2012,37,"$64,824,244 ",38.70%,"$86,814,721 ",28.20%,124,Resident Evil: Retribution,/weekend/2012W37/?ref_=bo_wey_table_21
Sep 7-9,2012,36,"$46,747,004 ",-40.40%,"$67,728,681 ",-34.90%,125,The Possession,/weekend/2012W36/?ref_=bo_wey_table_22
Aug 31-Sep 3Labor Day wknd,2012,35,"$100,987,641 ",1.60%,"$133,965,411 ",-3.60%,100,The Possession,/weekend/2012W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_23
Aug 24-26,2012,34,"$75,735,631 ",-38.30%,"$98,074,600 ",-29.70%,119,The Expendables 2,/weekend/2012W34/?ref_=bo_wey_table_25
Aug 17-19,2012,33,"$122,759,783 ",-4.90%,"$139,508,493 ",-1.90%,109,The Expendables 2,/weekend/2012W33/?ref_=bo_wey_table_26
Aug 10-12,2012,32,"$129,143,882 ",15.90%,"$142,282,599 ",15.60%,113,The Bourne Legacy,/weekend/2012W32/?ref_=bo_wey_table_27
Aug 3-5,2012,31,"$111,448,685 ",-10.30%,"$123,067,042 ",-8.50%,113,The Dark Knight Rises,/weekend/2012W31/?ref_=bo_wey_table_28
Jul 27-29,2012,30,"$124,187,763 ",-43.90%,"$134,433,234 ",-41.90%,108,The Dark Knight Rises,/weekend/2012W30/?ref_=bo_wey_table_29
Jul 20-22,2012,29,"$221,423,729 ",47.60%,"$231,285,377 ",40.10%,102,The Dark Knight Rises,/weekend/2012W29/?ref_=bo_wey_table_30
Jul 13-15,2012,28,"$150,002,519 ",-15.90%,"$165,029,467 ",-16.10%,113,Ice Age: Continental Drift,/weekend/2012W28/?ref_=bo_wey_table_31
Jul 6-8,2012,27,"$178,335,880 ",-6%,"$196,767,679 ",-6.30%,109,The Amazing Spider-Man,/weekend/2012W27/?ref_=bo_wey_table_32
Jun 29-Jul 1,2012,26,"$189,645,968 ",24.50%,"$210,047,382 ",27.40%,105,Ted,/weekend/2012W26/?ref_=bo_wey_table_33
Jun 22-24,2012,25,"$152,347,191 ",26.30%,"$164,829,173 ",26.50%,107,Brave,/weekend/2012W25/?ref_=bo_wey_table_34
Jun 15-17,2012,24,"$120,646,402 ",-29.70%,"$130,345,800 ",-28.20%,111,Madagascar 3: Europe's Most Wanted,/weekend/2012W24/?ref_=bo_wey_table_35
Jun 8-10,2012,23,"$171,705,112 ",29.90%,"$181,630,363 ",27.20%,131,Madagascar 3: Europe's Most Wanted,/weekend/2012W23/?ref_=bo_wey_table_36
Jun 1-3,2012,22,"$132,181,371 ",-8.40%,"$142,828,971 ",-6.80%,129,Snow White and the Huntsman,/weekend/2012W22/?ref_=bo_wey_table_37
May 25-28Memorial Day wknd,2012,21,"$182,669,246 ",-31%,"$194,092,495 ",-29.90%,111,Men in Black 3,/weekend/2012W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_39
May 18-20,2012,20,"$133,932,974 ",-16%,"$142,764,397 ",-16.50%,131,The Avengers,/weekend/2012W20/?ref_=bo_wey_table_40
May 11-13,2012,19,"$159,498,783 ",-35.30%,"$171,025,163 ",-33.80%,132,The Avengers,/weekend/2012W19/?ref_=bo_wey_table_41
May 4-6,2012,18,"$246,662,936 ",170.50%,"$258,295,713 ",133.60%,134,The Avengers,/weekend/2012W18/?ref_=bo_wey_table_42
Apr 27-29,2012,17,"$91,171,173 ",-23.30%,"$110,593,680 ",-18.30%,129,Think Like a Man,/weekend/2012W17/?ref_=bo_wey_table_43
Apr 20-22,2012,16,"$118,940,992 ",13.40%,"$135,415,449 ",18%,125,Think Like a Man,/weekend/2012W16/?ref_=bo_wey_table_44
Apr 13-15,2012,15,"$104,850,744 ",-9.20%,"$114,756,312 ",-7.30%,115,The Hunger Games,/weekend/2012W15/?ref_=bo_wey_table_45
Apr 6-9Easter wknd,2012,14,"$129,893,927 ",2.40%,"$136,124,614 ",-8.70%,45,The Hunger Games,/weekend/2012W14/occasion/easter_weekend/?ref_=bo_wey_table_46
